product_id,manufacturer,mpn,description,category,raw_specs
SCALE-0023,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0024,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0025,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0026,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0027,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0028,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0029,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0030,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0031,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0032,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0033,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0034,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0035,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0036,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0037,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0038,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0039,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0040,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0041,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0042,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0043,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0044,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0045,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0046,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0047,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0048,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0049,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0050,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0051,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0052,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0053,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0054,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0055,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0056,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0057,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0058,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0059,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0060,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0061,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0062,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0063,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0064,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0065,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0066,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0067,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0068,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0069,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0070,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0071,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0072,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0073,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0074,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0075,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0076,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0077,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0078,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0079,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0080,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0081,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0082,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0083,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0084,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0085,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0086,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0087,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0088,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0089,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0090,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0091,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0092,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0093,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0094,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0095,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0096,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0097,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0098,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0099,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0100,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0101,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0102,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0103,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0104,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0105,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0106,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0107,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0108,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0109,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0110,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0111,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0112,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0113,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0114,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0115,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0116,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0117,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0118,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0119,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0120,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0121,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0122,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0123,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0124,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0125,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0126,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0127,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0128,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0129,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0130,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0131,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0132,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0133,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0134,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0135,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0136,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0137,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0138,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0139,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0140,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0141,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0142,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0143,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0144,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0145,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0146,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0147,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0148,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0149,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0150,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0151,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0152,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0153,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0154,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0155,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0156,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0157,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0158,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0159,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0160,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0161,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0162,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0163,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0164,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0165,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0166,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0167,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0168,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0169,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0170,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0171,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0172,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0173,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0174,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0175,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0176,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0177,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0178,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0179,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0180,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0181,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0182,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0183,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0184,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0185,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0186,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0187,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0188,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0189,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0190,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0191,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0192,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0193,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0194,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0195,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0196,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0197,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0198,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0199,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0200,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0201,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0202,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0203,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0204,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0205,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0206,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0207,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0208,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0209,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0210,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0211,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0212,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0213,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0214,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0215,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0216,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0217,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0218,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0219,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0220,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0221,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0222,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0223,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0224,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0225,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0226,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0227,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0228,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0229,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0230,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0231,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0232,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0233,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0234,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0235,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0236,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0237,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0238,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0239,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0240,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0241,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0242,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0243,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0244,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0245,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0246,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0247,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0248,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0249,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0250,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0251,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0252,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0253,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0254,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0255,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0256,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0257,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0258,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0259,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0260,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0261,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0262,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0263,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0264,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
